Sub Category,Title,FinalPrice,Rating_num,Reviews,ValueScore,BayesRating
Bakery & Desserts,"The Cake Bake Shop 8"" Round Chocolate Cake (16-22 Servings)",159.99,5.0,2,0.9765531060374365,4.4674874603335795
Bakery & Desserts,"The Cake Bake Shop 8"" Round Carrot Cake (16-22 Servings)",159.99,5.0,1,0.9765531060374365,4.457626117006424
Bakery & Desserts,deMilan Panettone Classico Tin Cake 2.2 lb Tin,24.99,4.7,687,0.9443436872128761,4.68190785178155
Bakery & Desserts,"David's Cookies Butter Pecan Meltaways 32 oz, 2-pack",39.99,4.7,9459,0.9420891781948412,4.69859249477695
Bakery & Desserts,David's Cookies 90-piece Gourmet Chocolate Chunk Frozen Cookie Dough,54.99,4.7,273,0.9398346691768062,4.658931933491862
Beverages & Water,"Joyburst Energy Variety, 12 fl oz, 18-count",32.99,5.0,1,0.9956412823901324,4.457626117006424
Beverages & Water,"Pulp & Press Organic Cold-Pressed Juice Variety Pack, 18-pack",99.99,5.0,6,0.9855711421095763,4.5035900053957105
Beverages & Water,Tiesta Tea Loose Leaf Tea Variety 3-Pack (16 oz each),69.99,4.9,62,0.9725801601500212,4.6914070462464945
Beverages & Water,"Cherry Bay Orchards Tart Cherry Concentrate 32 fl. oz., 2-pack",39.99,4.8,1251,0.9595891781904661,4.785668566195051
Beverages & Water,"Sencha Naturals Everyday Matcha Green Tea Powder, 3-pack",49.99,4.8,1150,0.9580861721784428,4.7844653452355335
Breakfast,NuTrail Keto Nut Granola Blueberry Cinnamon 2-Pack (22 oz each),28.99,4.8,1275,0.9612424848036917,4.785927568010803
Breakfast,"General Mills, Cheerios Cereal, Honey Nut, 27.5 oz, 2-Count",8.19,4.75,0,0.9556187373108878,4.447392647515979
Breakfast,"Idaho Spuds, Golden Grill Hashbrown Potatoes, 33.1 oz",9.49,4.75,0,0.9554233465293247,4.447392647515979
Breakfast,"Post, Honey Bunches of Oats with Almonds Cereal, 50 oz",9.69,4.75,0,0.9553932864090842,4.447392647515979
Breakfast,"Kirkland Signature Whole Grain Rolled Oats, 10 LBS",9.99,4.75,0,0.9553481962287235,4.447392647515979
Candy,"Utah Truffle Milk Chocolate Mint Truffles 16 oz, 2-pack",29.99,4.9,761,0.9785921841981144,4.870530479506569
Candy,"Utah Truffles Dark Chocolate Truffles With Sea Salt 16 oz, 2-pack",29.99,4.8,227,0.9610921842024893,4.733256465422667
Candy,"Ghirardelli Chocolate Squares Premium Chocolate Assortment, 23.8 oz",18.99,4.7,601,0.94524549082009,4.67952876195466
Candy,Page Not Found!,18.99,4.7,68,0.94524549082009,4.589353804283859
Candy,"Sanders Milk Chocolate Sea Salt Caramels 36 oz., 2-pack",34.99,4.7,2848,0.9428406812008527,4.695384974256584
Cleaning Supplies,"The Unscented Company Dryer Balls, 6-count",34.99,4.9,7,0.9778406811921028,4.5001968386391145
Cleaning Supplies,"The Unscented Company Liquid Dish Soap Refill Box, 337.92 fl oz",41.99,4.9,12,0.9767885769836866,4.530950927974568
Cleaning Supplies,"Bona Hardwood Floor Cleaner, Original, 32 fl oz & 128 fl oz Ready-To-Use Refill",29.99,4.8,997,0.9610921842024893,4.782201724112712
Cleaning Supplies,"Nellie’s Laundry Soda, 400 Loads",42.99,4.8,2658,0.959138276386859,4.793106532762208
Cleaning Supplies,"Nellie's Laundry Soda, 800 Loads",89.99,4.8,1171,0.9520741481303496,4.7847318711751194
Coffee,"San Francisco French Roast Whole Bean Coffee 3 lb, 2-pack",34.99,4.8,2468,0.9603406811964776,4.792586993382922
Coffee,"Ruta Maya Organic Dark Roast Coffee, 5 lbs",44.99,4.8,2216,0.9588376751844544,4.791763688990016
Coffee,"Kirkland Signature Costa Rica Coffee 3 lb, 2-pack",37.99,4.7,2762,0.9423897793972458,4.6952439823511
Coffee,"Kirkland Signature Rwandan Coffee 3 lb, 2-pack",37.99,4.7,1903,0.9423897793972458,4.693155322248644
Coffee,"Mayorga Café Cubano Roast, USDA Organic, Dark Roast, Whole Bean Coffee, 2lb, 2-pack",39.99,4.7,1948,0.9420891781948412,4.693309250533906
Deli,"Plaza Osetra Farmed Bulgarian Sturgeon Caviar 2 oz, 3-pack",199.99,4.6,2452,0.9005410820068434,4.596771181763811
Deli,"Noel Consorcio Serrano Ham Reserva Leg, 14 lbs",109.99,4.5,0,0.896568136119428,4.447392647515979
Deli,Tsar Nicoulai Classic White Sturgeon Caviar 2 oz Gift Set,119.99,4.5,220,0.8950651301074047,4.489786850982956
Deli,"Plaza Osetra Farmed Bulgarian Sturgeon Caviar, 2 oz Gift Set",124.99,4.5,996,0.8943136271013931,4.497342049874496
Deli,Plaza Golden Osetra 2 oz Caviar Gift Set,169.99,4.5,268,0.8875501000472883,4.491314050835971
Floral,Fresh Wedding Garland,109.99,4.8,3452,0.9490681361063029,4.7946681341849775
Floral,Wedding Variety Collection,59.99,4.7,310,0.9390831661707946,4.663117934761286
Floral,40-stem Sunflowers,59.99,4.7,15,0.9390831661707946,4.503114857622749
Floral,"6' Wedding Runner, 4-pack",109.99,4.7,3119,0.931568136110678,4.695779259242859
Floral,"Mini Floral Centerpieces, 9-count",109.99,4.7,2421,0.931568136110678,4.69458844394436
Gift Baskets,eat.art Salt and Spice Set 2-pack,44.99,5.0,3,0.9938376751757044,4.476996612827623
Gift Baskets,Old Fashioned Whiskey Time & Snacks Gift Set ,69.99,5.0,2,0.9900801601456461,4.4674874603335795
Gift Baskets,TRE Olive Merenda Gift Box,69.99,5.0,1,0.9900801601456461,4.457626117006424
Gift Baskets,Jacques Torres Assorted Chocolate Large Hat Box,149.99,5.0,3,0.9780561120494597,4.476996612827623
Gift Baskets,"Tea Forte Lotus Spa Bundle, 25 Tea Packs and One Cup",49.99,4.8,17,0.9580861721784428,4.53302586169067
Household,"Bostitch 1/4"" Premium Staples, Standard Chisel Point, 5,000 Staples, 5-count",4.49,4.340356564019449,0,0.8844872482566617,4.447392647515979
Household,"Nouvelle Legende Flame Retardant Oven Mitt, Black, 2-count",5.49,4.340356564019449,0,0.8843369476554594,4.447392647515979
Household,"Winco Cutting Board, 12"" x 18"" x 1/2"" - White",7.49,4.340356564019449,0,0.8840363464530547,4.447392647515979
Household,"Tramontina ProLine Windsor Teaspoon, Stainless Steel, 36-count",8.49,4.340356564019449,0,0.8838860458518524,4.447392647515979
Household,"Nouvelle Legende Ribbed Microfiber Bar Towel, White with Green Stripe, 14 in x 18 in, 12-count",8.99,4.340356564019449,0,0.8838108955512513,4.447392647515979
Kirkland Signature Grocery,"Kirkland Signature Nitrile Exam Gloves, 400-count",27.99,4.8,4595,0.961392785404894,4.795979305145944
Kirkland Signature Grocery,"Kirkland Signature Super B-Complex with Electrolytes, 500 Tablets",15.99,4.7,2218,0.945696392623697,4.694104716124327
Kirkland Signature Grocery,Kirkland Signature Small Formula Chicken & Vegetable Dog Food 20 lb.,32.99,4.7,4394,0.9431412824032575,4.696989388423285
Kirkland Signature Grocery,"Kirkland Signature Dental Chews, 72-count",36.99,4.7,5134,0.9425400799984481,4.697418895376585
Kirkland Signature Grocery,"Kirkland Signature Costa Rica Coffee 3 lb, 2-pack",37.99,4.7,2762,0.9423897793972458,4.6952439823511
Laundry Detergent & Supplies,"The Unscented Company Dryer Balls, 6-count",34.99,4.9,7,0.9778406811921028,4.5001968386391145
Laundry Detergent & Supplies,"Nellie’s Laundry Soda, 400 Loads",42.99,4.8,2658,0.959138276386859,4.793106532762208
